,C50,KD1,KD2,cod,gamma,k_dissD,muD
64,9.564738326349565e-09,1e-08,1.7073526474706906e-05,0.9998392412404096,0.9677660300486949,1.0,0.0005857020818056666
65,9.566543889181454e-09,1e-08,1.917910261672489e-05,0.9998388729549132,0.967608698941825,1.0,0.0005214008287999684
66,9.568197767977792e-09,1e-08,2.1544346900318847e-05,0.9998384994638345,0.9674712777344772,1.0,0.0004641588833612777
67,9.5696288159705e-09,1e-08,2.4201282647943808e-05,0.999838102762297,0.9673485928044117,1.0,0.0004132012400115339
68,9.570954053049409e-09,1e-08,2.7185882427329403e-05,0.9998376712660507,0.9672390097161758,1.0,0.0003678379771828634
69,9.572118618183626e-09,1e-08,3.0538555088334155e-05,0.9998372710758417,0.9671391661286067,1.0,0.00032745491628777284
70,9.573209064645673e-09,1e-08,3.4304692863149194e-05,0.9998368893084941,0.9670552871127869,1.0,0.0002915053062825176
71,9.574100642711727e-09,1e-08,3.8535285937105275e-05,0.9998364838680909,0.9669742235205913,1.0,0.00025950242113997375
72,9.574924498403762e-09,1e-08,4.328761281083057e-05,0.9998361639105648,0.9669021387067813,1.0,0.00023101297000831605
73,9.575681418339005e-09,1e-08,4.8626015800653536e-05,0.999835801532273,0.9668414213919493,1.0,0.00020565123083486514
74,9.57625494420495e-09,1e-08,5.462277217684343e-05,0.9998354891967984,0.9667812336784835,1.0,0.00018307382802953677
75,9.576919496097287e-09,1e-08,6.13590727341317e-05,0.9998351602088078,0.9667361651516612,1.0,0.0001629750834620645
76,9.577419369601093e-09,1e-08,6.892612104349695e-05,0.9998348902907052,0.9666878332946224,1.0,0.00014508287784959403
77,9.577880674261345e-09,1e-08,7.74263682681127e-05,0.9998345886788632,0.9666504411543729,1.0,0.0001291549665014884
78,9.578281596046586e-09,1e-08,8.697490026177834e-05,0.9998343758877066,0.9666115044029221,1.0,0.00011497569953977356
79,9.57862005324256e-09,1e-08,9.770099572992247e-05,0.9998341934645354,0.9665817210646791,1.0,0.00010235310218990269
80,9.57895398984706e-09,1e-08,0.00010974987654930568,0.999833939777525,0.9665519580634453,1.0,9.111627561154887e-05
81,9.579213501733944e-09,1e-08,0.0001232846739442066,0.9998337850678631,0.9665225333914441,1.0,8.111308307896872e-05
82,9.579512497854094e-09,1e-08,0.00013848863713938718,0.9998336130355641,0.9665032479689634,1.0,7.220809018385471e-05
83,9.57974062445386e-09,1e-08,0.00015556761439304722,0.9998334522325706,0.9664836444743982,1.0,6.428073117284319e-05
84,9.579971801273143e-09,1e-08,0.0001747528400007683,0.9998333020040152,0.9664690845324091,1.0,5.72236765935022e-05
85,9.580108525764691e-09,1e-08,0.00019630406500402726,0.9998331944871227,0.9664492676450489,1.0,5.094138014816375e-05
86,9.580263265922475e-09,1e-08,0.00022051307399030456,0.9998330776521956,0.9664333987888867,1.0,4.534878508128582e-05
87,9.580440163284576e-09,1e-08,0.0002477076355991709,0.9998329475985221,0.9664247811920104,1.0,4.037017258596558e-05
88,9.580607264142417e-09,1e-08,0.0002782559402207126,0.9998328305861217,0.9664137027222287,1.0,3.5938136638046256e-05
89,9.580637549493636e-09,1e-08,0.00031257158496882353,0.9998327829681442,0.9663969855180143,1.0,3.199267137797385e-05
90,9.580791068037843e-09,1e-08,0.00035111917342151277,0.9998327182080555,0.9663917879206558,1.0,2.8480358684358048e-05
