,C50,KD1,KD2,cod,gamma,k_dissD,muD
38,1.539676579295459e-07,1e-08,8.302175681319744e-07,0.9999983674533574,5.872207151048745,1.0,0.012045035402587823
39,1.5005666706868668e-07,1e-08,9.326033468832199e-07,0.9999981482194108,6.027838591322414,1.0,0.010722672220103232
40,1.467714143946235e-07,1e-08,1.0476157527896652e-06,0.999997287580343,6.159755942609379,1.0,0.009545484566618337
41,1.4398581316419018e-07,1e-08,1.1768119524349978e-06,0.9999962950142881,6.270124445017137,1.0,0.008497534359086447
42,1.4160474844491265e-07,1e-08,1.3219411484660288e-06,0.999995495529768,6.360623254830707,1.0,0.00756463327554629
43,1.3954011391038183e-07,1e-08,1.4849682622544653e-06,0.9999947543001172,6.44600043426754,1.0,0.00673415065775082
44,1.377638387464683e-07,1e-08,1.6681005372000593e-06,0.9999945188927821,6.51226671601488,1.0,0.005994842503189408
45,1.3620344023460864e-07,1e-08,1.873817422860383e-06,0.9999936905265526,6.5806903042344995,1.0,0.005336699231206312
46,1.348583651862683e-07,1e-08,2.1049041445120197e-06,0.9999936392627528,6.631849566538031,1.0,0.0047508101621027985
47,1.3366554338179887e-07,1e-08,2.364489412645407e-06,0.9999928102070108,6.686867178989411,1.0,0.004229242874389499
48,1.32621062558061e-07,1e-08,2.656087782946687e-06,0.9999920320332674,6.735441640859083,1.0,0.003764935806792467
49,1.3170459351948042e-07,1e-08,2.98364724028334e-06,0.9999913243232786,6.778352359004887,1.0,0.003351602650938841
50,1.309264383637887e-07,1e-08,3.351602650938841e-06,0.9999917428495295,6.801372002879173,1.0,0.0029836472402833404
51,1.3021695845336993e-07,1e-08,3.7649358067924677e-06,0.9999913163577506,6.83483836226168,1.0,0.0026560877829466863
52,1.2959154770609043e-07,1e-08,4.229242874389499e-06,0.9999909384216722,6.864592264208593,1.0,0.002364489412645407
53,1.2903961970354082e-07,1e-08,4.750810162102798e-06,0.9999906038686431,6.891055867814452,1.0,0.00210490414451202
54,1.2855205864096566e-07,1e-08,5.336699231206308e-06,0.9999903084816333,6.914601907903329,1.0,0.0018738174228603848
55,1.2812095873373564e-07,1e-08,5.994842503189409e-06,0.9999900465266676,6.935563156764171,1.0,0.0016681005372000592
56,1.277395172464029e-07,1e-08,6.734150657750821e-06,0.9999898151597428,6.954213314517533,1.0,0.0014849682622544652
57,1.2740177297866762e-07,1e-08,7.564633275546291e-06,0.999989610412615,6.970813497515758,1.0,0.0013219411484660288
58,1.2710253933718618e-07,1e-08,8.497534359086439e-06,0.9999894291526317,6.985590128281499,1.0,0.001176811952434999
59,1.2683728362267518e-07,1e-08,9.545484566618338e-06,0.9999892686216759,6.998744392868045,1.0,0.001047615752789665
60,1.2660232265786253e-07,1e-08,1.0722672220103232e-05,0.9999891527585962,7.0106181549168785,1.0,0.0009326033468832199
61,1.264520435127818e-07,1e-08,1.2045035402587824e-05,0.9999900241001122,6.99308475541891,1.0,0.0008302175681319744
62,1.2626647200108713e-07,1e-08,1.3530477745798062e-05,0.9999899775734,7.002470641135259,1.0,0.0007390722033525783
63,1.2610171494293867e-07,1e-08,1.5199110829529332e-05,0.9999899364641975,7.010834821366363,1.0,0.0006579332246575682
64,1.2595539383243874e-07,1e-08,1.7073526474706906e-05,0.9999899001113063,7.018287747446447,1.0,0.0005857020818056666
65,1.2582541194071456e-07,1e-08,1.917910261672489e-05,0.9999898679381043,7.024928157528178,1.0,0.0005214008287999684
66,1.2570991779309351e-07,1e-08,2.1544346900318847e-05,0.9999898394318077,7.030843988336937,1.0,0.0004641588833612777
67,1.2560727547437766e-07,1e-08,2.4201282647943808e-05,0.999989814161937,7.036113978256444,1.0,0.0004132012400115339
68,1.2551603741193594e-07,1e-08,2.7185882427329403e-05,0.9999897917552768,7.040808364865032,1.0,0.0003678379771828634
69,1.254349236663231e-07,1e-08,3.0538555088334155e-05,0.9999897718677322,7.044989718529061,1.0,0.00032745491628777284
70,1.2536280043428295e-07,1e-08,3.4304692863149194e-05,0.9999897542184059,7.048713933477581,1.0,0.0002915053062825176
71,1.2529866243655732e-07,1e-08,3.8535285937105275e-05,0.999989738545084,7.052030667619732,1.0,0.00025950242113997375
72,1.2524161915822636e-07,1e-08,4.328761281083057e-05,0.9999897246178042,7.054984465141261,1.0,0.00023101297000831605
73,1.2519088068885202e-07,1e-08,4.8626015800653536e-05,0.999989712249032,7.057615060794706,1.0,0.00020565123083486514
74,1.2514574580884391e-07,1e-08,5.462277217684343e-05,0.9999897012482977,7.059957440323469,1.0,0.00018307382802953677
75,1.251055925112767e-07,1e-08,6.13590727341317e-05,0.9999896914772329,7.0620432954897625,1.0,0.0001629750834620645
76,1.2506986856607452e-07,1e-08,6.892612104349695e-05,0.9999896827902816,7.063900637241352,1.0,0.00014508287784959403
77,1.2503808299405036e-07,1e-08,7.74263682681127e-05,0.9999896750639702,7.065554456767261,1.0,0.0001291549665014884
78,1.2500980030151548e-07,1e-08,8.697490026177834e-05,0.9999896681865598,7.067027016332617,1.0,0.00011497569953977356
79,1.2498463277125557e-07,1e-08,9.770099572992247e-05,0.9999896620783543,7.068338101125633,1.0,0.00010235310218990269
80,1.249622368850045e-07,1e-08,0.00010974987654930568,0.9999896566386552,7.069505499471238,1.0,9.111627561154887e-05
81,1.2494230585574272e-07,1e-08,0.0001232846739442066,0.9999896518122674,7.070544947657554,1.0,8.111308307896872e-05
82,1.249245683533603e-07,1e-08,0.00013848863713938718,0.99998964750308,7.071470285414348,1.0,7.220809018385471e-05
83,1.2490878206144636e-07,1e-08,0.00015556761439304722,0.9999896436782996,7.072294129983138,1.0,6.428073117284319e-05
84,1.2489473236068504e-07,1e-08,0.0001747528400007683,0.9999896402674879,7.073027631552451,1.0,5.72236765935022e-05
85,1.248822276069252e-07,1e-08,0.00019630406500402726,0.9999896372406227,7.073680682495428,1.0,5.094138014816375e-05
86,1.2487109754448645e-07,1e-08,0.00022051307399030456,0.9999896345420365,7.074262019105396,1.0,4.534878508128582e-05
